R&D Spend,Administration,Marketing Spend,State,Profit
60071.4,115252.05,15133.51,California,111853.05
106451.39,89880.42,92572.18,California,41536.64
108438.87,118739.09,1774.34,California,59289.16
53039.92,147637.4,177474.58,Florida,138976.88
66175.32,137997.15,195813.47,Florida,140716.97
13949.53,144241.54,150993.93,California,149075.11
157340.95,122419.28,169656.59,Florida,195873.08
77206.88,57061.64,151739.94,California,75947.6
17259.37,75237.64,103443.69,Florida,154667.5
31901.12,57729.47,76528.29,Florida,179812.85
9312.72,71331.49,93127.71,Florida,128202.21
106126.17,100758.61,29488.67,Florida,88944.52
153445.69,86625.82,180683.7,Florida,139903.23
40064.33,70750.66,82616.83,Florida,44006.45
133045.69,88537.35,27786.01,California,120000.35
71915.22,101877.91,139293.92,California,29018.51
131809.82,81560.62,186830.73,New York,184929.83
121534.48,127162.94,13906.99,California,140639.05
162350.87,120158.62,158732.54,New York,168589.52
38862.57,100155.65,70608.84,New York,62389.51
65698.23,78575.55,172852.94,Florida,46711.7
109368.39,146785.0,195137.48,Florida,127466.17
25186.21,67340.79,150998.86,California,161115.1
16528.99,109132.83,38454.31,New York,172352.2
19671.22,96791.06,121113.12,California,97377.09
48247.5,81720.88,78256.26,California,103764.82
68583.27,144845.73,11567.67,California,116104.73
88656.01,75876.34,5054.93,California,35202.56
17076.47,56339.96,162809.55,Florida,111867.28
139205.36,102331.4,103862.26,Florida,44468.09
95003.77,144480.91,144326.94,New York,129424.58
139734.91,71982.62,195600.54,Florida,59758.99
81110.86,123189.26,63766.43,California,48950.77
166924.85,112287.72,23134.88,California,45488.91
129617.24,112470.1,19968.37,Florida,158615.86
87389.28,111482.57,93426.27,New York,40795.46
14074.11,104142.32,190450.75,Florida,115812.09
86581.55,143393.85,9888.39,California,131430.33
46041.45,77724.64,17804.65,New York,118971.98
65955.79,106710.68,164747.58,New York,148522.45
127092.8,90442.97,87302.77,California,195019.19
35867.95,79745.22,28571.92,California,163450.83
140179.73,54179.56,158665.23,Florida,79082.69
90212.96,79896.8,131952.78,Florida,73131.67
152332.17,131790.98,26.38,New York,41741.92
127207.69,142296.46,152739.54,California,82680.09
28386.65,125170.73,69408.88,California,104585.16
106562.32,76557.39,46688.81,Florida,73912.55
73969.85,57964.34,130082.33,New York,30514.67
4638.77,69871.56,136125.74,New York,121981.45
